# Constructed from biom file
#OTU ID	A2511	J2515	taxonomy
94cb0984ed9cbdecf760d8e7c437a184	0.0	28.0	Archaea; Euryarchaeota; Thermoplasmata; Marine Group II; uncultured marine euryarchaeote DH148-W1; uncultured marine euryarchaeote DH148-W1; uncultured marine euryarchaeote DH148-W1
ce41f4da79b50557dd2574230c9d484d	14.0	0.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae; Chthoniobacter; uncultured bacterium
547b78057390d8dd87e029218928ab3c	0.0	13.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; Devosia; 
ac50b7dd017e84d3aa524610e390de05	13.0	0.0	Bacteria; Bacteroidetes; Bacteroidia; Chitinophagales; Saprospiraceae; Aureispira; uncultured Bacteroidetes bacterium
be7b502cdfa8934ef452262d6993731c	18.0	35.0	Bacteria; Proteobacteria; Gammaproteobacteria; Coxiellales; Coxiellaceae; Coxiella; 
5ed61569aab30a877a67c2e53b08cddc	3.0	5.0	Archaea; Euryarchaeota; Thermoplasmata; Marine Group II; uncultured marine eukaryote; uncultured marine eukaryote; uncultured marine eukaryote
e3bd4c321c5364d01871ebb503a1dc7e	308.0	430.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae; Colwellia; 
15f70377a20620ede76a1f2a910a5fa2	31.0	146.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; NS9 marine group; ; 
9f6dbbf0b15f6b2eeeb691edb6e6bd52	32.0	0.0	Bacteria; ; ; ; ; ; 
698d4fd43c64b1dcba9a5b9cbbcbd893	0.0	4.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; 
87a40aa40fe0bb69598b6b59841e369a	49.0	49.0	Bacteria; Proteobacteria; Gammaproteobacteria; Nitrosococcales; Nitrosococcaceae; Cm1-21; uncultured gamma proteobacterium
b9c6f6447f56262a8f185ea82991850f	0.0	9.0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prolixibacteraceae; Draconibacterium; uncultured bacterium
4f7fc71fbc9939e21388a7aa6089102e	10.0	10.0	Bacteria; Bacteroidetes; Bacteroidia; Cytophagales; Cytophagaceae; Cytophaga; metagenome
e7ab4b543a03582976d41c0df48b69fe	0.0	7.0	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister; Veillonellaceae bacterium DNF00626
66c6790748de5a903e8aa191670dead1	25.0	47.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; NS9 marine group; uncultured marine bacterium; uncultured marine bacterium
0f7c3a07c1f906350c46496ae2b078f8	221.0	910.0	Archaea; Euryarchaeota; Thermoplasmata; Marine Group II; marine metagenome; marine metagenome; marine metagenome
e6eda78c7742d9384ad90a2db9203ce8	20.0	15.0	Bacteria; Proteobacteria; Gammaproteobacteria; Ga0077536; uncultured bacterium; uncultured bacterium; uncultured bacterium
fe037094f4e4d88606f217b5c3d1f59c	92.0	192.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; ; 
3c040197263714da317b698fa5779937	343.0	371.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; NS5 marine group; uncultured Bacteroidetes bacterium
7548fbaec85e1a3ac972463827d350f1	29.0	41.0	Bacteria; Proteobacteria; Gammaproteobacteria; Ectothiorhodospirales; Ectothiorhodospiraceae; uncultured; 
70580c5fdb0e12b99fd4ad77b8f9e3ab	14.0	36.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Cryomorphaceae; uncultured; metagenome
d698adf0a79eda87bed6c89930262e31	0.0	5.0	Archaea; Euryarchaeota; Thermoplasmata; Marine Group II; uncultured marine group II euryarchaeote HF500_47D04; uncultured marine group II euryarchaeote HF500_47D04; uncultured marine group II euryarchaeote HF500_47D04
aac3fed77594bf011ae74840d1c7d22c	42.0	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; SAR11 clade; Clade II; ; 
b1c671dde7f6e801af6fd0b3085cb475	494.0	1373.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ; 
04ecfad5772d2e09a84a0f5ef460536c	0.0	13.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium; 
088f0fe22ad2aefbbb7965a5c2657f5d	88.0	133.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Ruegeria; 
fad66ea83a2659ba94dd905e7075e9f3	15.0	15.0	Bacteria; Proteobacteria; Deltaproteobacteria; PB19; uncultured delta proteobacterium; uncultured delta proteobacterium; uncultured delta proteobacterium
ac940243ddc863efcd2273871bb30e6a	151.0	172.0	Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Halieaceae; OM60(NOR5) clade; 
fcd4f1369a7e61e6dfda99e1710ccc16	408.0	877.0	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Methylophilaceae; OM43 clade; 
39635132fddd5dcab4f1ae60151c286a	28.0	0.0	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; ; 
93d410bda3079e20054a7fe8758d9950	0.0	5.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Magnetospiraceae; Magnetospira; uncultured nuHF1 cluster bacterium HF0770_35I22
1263b941de1a0c2fb61d10f6b7e273da	123.0	133.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; uncultured; uncultured marine bacterium
e9cc7d25753d22c815bfff0909f4bdff	2.0	0.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Marixanthomonas; Flavobacteriaceae bacterium HTCC2652
37f7165d3db313efd8610c05d753e4df	3.0	0.0	Bacteria; Bacteroidetes; Bacteroidia; Sphingobacteriales; NS11-12 marine group; ; 
8d7a4526b1beb1e5de35b1b2d8b4c60a	22.0	22.0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oleiphilaceae; Oleiphilus; 
1d88682b31bd7ffc08478ecf49bae051	11.0	0.0	Bacteria; Actinobacteria; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Conexibacter; metagenome
badeae06f9f02ed7567ab02f37fc1612	98.0	104.0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Pseudohongiellaceae; Pseudohongiella; 
a5c6e34380204fc25a1e1440f26cbfee	107.0	76.0	Bacteria; Proteobacteria; Gammaproteobacteria; UBA10353 marine group; ; ; 
4fa18227fcf7fc6f1c669b7a34483adf	4.0	8.0	Bacteria; Kiritimatiellaeota; Kiritimatiellae; Kiritimatiellales; Kiritimatiellaceae; uncultured bacterium; uncultured bacterium
8f21dba7b40d77ce0b91a3b8637db466	14.0	0.0	Bacteria; Actinobacteria; Acidimicrobiia; Microtrichales; Microtrichaceae; Sva0996 marine group; uncultured marine bacterium
1d669aacc3d1cc0ab4ed1df1d2dcd103	44.0	30.0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Kangiellaceae; Aliikangiella; uncultured bacterium
abe4546ada79d04e094fa1e005a76d71	0.0	31.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; 
ef9b0d0eca7f6f1ac637d43a479e65a4	16.0	12.0	Bacteria; Proteobacteria; Gammaproteobacteria; Coxiellales; Coxiellaceae; Coxiella; uncultured gamma proteobacterium
8184b3608c597c01c68eb44133e7b8d0	0.0	6.0	Bacteria; Proteobacteria; Alphaproteobacteria; Puniceispirillales; SAR116 clade; uncultured bacterium; uncultured bacterium
ac5c52caea9a55bc60fcca0f82bbba79	0.0	2.0	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; uncultured bacterium; uncultured bacterium
e7d7279b6f0331472ac290af0fea238f	40.0	37.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Opitutales; Puniceicoccaceae; MB11C04 marine group; 
f0df21abb152b71d1e2c2d4fe966b700	16.0	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Salinisphaerales; Salinisphaeraceae; Salinisphaera; uncultured marine bacterium
f1ce4897644877cf6f1235176866dfed	0.0	5.0	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister; unidentified
b2aea22ecda36a0389bf39007caced28	0.0	3.0	Bacteria; Proteobacteria; Alphaproteobacteria; ; ; ; 
a8b397210b8bbe54e65d244d0b542c54	94.0	111.0	Bacteria; Proteobacteria; Alphaproteobacteria; Thalassobaculales; Nisaeaceae; OM75 clade; 
63b98d69f205f4ee460f94a3a59b2615	54.0	35.0	Bacteria; Marinimicrobia (SAR406 clade); Marinimicrobia bacterium SCGC AAA160-I06; Marinimicrobia bacterium SCGC AAA160-I06; Marinimicrobia bacterium SCGC AAA160-I06; Marinimicrobia bacterium SCGC AAA160-I06; Marinimicrobia bacterium SCGC AAA160-I06
1eeb3a951603a4c877a4ba59a204763e	40.0	224.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Winogradskyella; 
b5de67fe21e73120ce639a9d4f64521c	0.0	15.0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prolixibacteraceae; Draconibacterium; uncultured bacterium
5f4ba6ed21ca4b46e699e30e401c5e45	8.0	49.0	Bacteria; Cyanobacteria; Oxyphotobacteria; Synechococcales; Cyanobiaceae; Synechococcus CC9902; 
536c261c70115dd774b18aaf70f1ab2c	0.0	10.0	Bacteria; Chlamydiae; Chlamydiae; Chlamydiales; Parachlamydiaceae; ; 
2fd8b28d7379d1fbefd5895fbdeb1e64	0.0	6.0	Bacteria; Gemmatimonadetes; Longimicrobia; Longimicrobiales; Longimicrobiaceae; metagenome; metagenome
6e15615f6323028a99d250c5a531539b	0.0	70.0	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Rhodanobacter; 
71e634843700331811fb699e4e1ca3c9	18.0	11.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Algicola; uncultured gamma proteobacterium
efa9dafd48ad6deec1a30eef7b3f8b2e	22.0	21.0	Bacteria; Proteobacteria; Alphaproteobacteria; uncultured; ; ; 
30ee88663585f2dbdabc3c858b17dfdb	0.0	12.0	Bacteria; Epsilonbacteraeota; Campylobacteria; Campylobacterales; Arcobacteraceae; Arcobacter; 
6cc4c17fa6b07f18fb7b5e0d3c39ea4e	0.0	9.0	Bacteria; Proteobacteria; Gammaproteobacteria; SAR86 clade; uncultured organism; uncultured organism; uncultured organism
e6b2de3db9b185d50f78830311317094	30.0	23.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Opitutales; Puniceicoccaceae; MB11C04 marine group; uncultured bacterium
073633bb2b176ae1524deafcd2e3a478	20.0	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Marinobacteraceae; Marinobacter; 
5646b04c0d3fe38812fcb83f8add0619	196.0	579.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; NS9 marine group; ; 
a8ca8616b100819eeab2219dd3a5b1a6	0.0	5.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Wenyingzhuangia; 
7dc9a5e23c642d86f34fbbf8a1d83dbc	26.0	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; 
84c3e82b27365fd3b60f4e25d87392b4	0.0	25.0	Bacteria; Proteobacteria; Alphaproteobacteria; SAR11 clade; Clade II; ; 
7857d3187944415a804e443783213d31	25.0	86.0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Pseudohongiellaceae; Pseudohongiella; uncultured marine bacterium
da543151726f3378caea3185fab863d6	0.0	7.0	Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Spongiibacteraceae; uncultured; 
7643083b8c5dc02bbd2e5ce387fa1ffa	0.0	23.0	Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Halieaceae; OM60(NOR5) clade; 
c1f301f29c2ede1a25d33f6ee519f225	13.0	34.0	Bacteria; Proteobacteria; Deltaproteobacteria; SAR324 clade(Marine group B); bacterium associated with Parathyasira sp.; bacterium associated with Parathyasira sp.; bacterium associated with Parathyasira sp.
d167b13524d29dd32432572d5e068108	19.0	23.0	Bacteria; Proteobacteria; Alphaproteobacteria; Puniceispirillales; SAR116 clade; Candidatus Puniceispirillum; uncultured bacterium
8f26f6ae88c88191a467d8170129dc87	10.0	7.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Opitutales; Puniceicoccaceae; MB11C04 marine group; 
538dafb27c8d7ccc71d810a73998f191	35.0	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Salinisphaerales; Salinisphaeraceae; Salinisphaera; uncultured bacterium
226c9af4a0958a4215f8c7e80f579c2b	10.0	11.0	Bacteria; Gemmatimonadetes; BD2-11 terrestrial group; uncultured marine microorganism; uncultured marine microorganism; uncultured marine microorganism; uncultured marine microorganism
c30f384b7a200b71235a6650e1aad14d	141.0	113.0	Archaea; Euryarchaeota; Thermoplasmata; Marine Group II; ; ; 
4e70ee6e1debd8fcb64d870206883615	0.0	2.0	Bacteria; Proteobacteria; Gammaproteobacteria; ; ; ; 
c611c8d206a7545a15659f8aef5ee2b2	3.0	0.0	Bacteria; Bacteroidetes; Bacteroidia; Sphingobacteriales; env.OPS 17; uncultured Bacteroidetes bacterium; uncultured Bacteroidetes bacterium
4ed6dce72cfd066a4f2721b3ed99c424	52.0	56.0	Archaea; Euryarchaeota; Thermoplasmata; Marine Group II; ; ; 
757b734a3c4d17d535f54c9bc592ac5d	28.0	32.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; NS9 marine group; uncultured Owenweeksia sp.; uncultured Owenweeksia sp.
eb1caf7f14bba8dc11db7f1a96038c27	11.0	28.0	Bacteria; Cyanobacteria; Oxyphotobacteria; Synechococcales; Cyanobiaceae; Synechococcus CC9902; uncultured cyanobacterium
b2599cb5292e400d0712eb2bb0f4fcde	9.0	22.0	Bacteria; Lentisphaerae; Oligosphaeria; P.palmC41; uncultured Lentisphaerae bacterium; uncultured Lentisphaerae bacterium; uncultured Lentisphaerae bacterium
b2c46b01a80f284ea506f52ced3e03ab	31.0	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Erwinia; uncultured bacterium
9ec6c32027e4c9e177a8f06130e4433c	6.0	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Steroidobacter; 
b640a831f0c28e6d60ba3f6b278f38fa	33.0	36.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Rubritaleaceae; Persicirhabdus; uncultured bacterium
40e93375ec77107c90ca0be1da3f6c0b	109.0	166.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Opitutales; Puniceicoccaceae; Lentimonas; uncultured marine bacterium
7a62b1e90645b29a47d1dafca2c562b8	42.0	56.0	Bacteria; Bacteroidetes; Bacteroidia; Sphingobacteriales; NS11-12 marine group; uncultured marine bacterium; uncultured marine bacterium
845a4790091bad012b97f5200806b065	10.0	0.0	Bacteria; ; ; ; ; ; 
182f14f4738e3e78477df91d12e0b714	11.0	0.0	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Cohnella; 
be78a6c2f850cdc9a54c727aea3a2b79	10.0	27.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Candidatus Megaira; 
5c26a397bfde17c1700cd7989fb6a0a5	0.0	26.0	Archaea; Thaumarchaeota; Nitrososphaeria; Nitrosopumilales; Nitrosopumilaceae; Candidatus Nitrosopumilus; unidentified archaeon
2114414db001c21b5f663a9d3e7b56e6	0.0	19.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Shuttleworthia; uncultured bacterium
39a36fc164f44021be62ea6bf8f00b53	0.0	4.0	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; OM27 clade; 
b4289ab0a9a00034c1fbce477b2c4ded	0.0	65.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; 
f617f0ce888fe9b6b91cb9069b7a11f5	27.0	14.0	Bacteria; Bacteroidetes; Bacteroidia; Cytophagales; Spirosomaceae; Dyadobacter; 
b54d62de77fb56acf6e548014277eb2f	9.0	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Coxiellales; Coxiellaceae; Coxiella; 
77f222a453153fac6e63722df9a781f1	90.0	58.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; 
ac4ac274d280050de041eaa56cbe3c92	9.0	7.0	Bacteria; Planctomycetes; Planctomycetacia; Pirellulales; Pirellulaceae; Blastopirellula; uncultured planctomycete
64f80defe11094b9008e77a620313b75	8.0	0.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Methylacidiphilales; Methylacidiphilaceae; uncultured; uncultured Verrucomicrobia bacterium
8d0cbbfc21359edf6c4fd2a1a13594d3	29.0	0.0	Bacteria; ; ; ; ; ; 
dfbcf643d39da3d96679e19c7ab6b3a1	0.0	14.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Fastidiosipila; Clostridiales bacterium KA00274
29d4b7cb7a51d7e7f7c13859af8945c3	0.0	82.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; uncultured eubacterium WD208
49a1382401dc09cacc5a7cdb5ab6f1c0	7.0	17.0	Bacteria; Proteobacteria; Deltaproteobacteria; Bradymonadales; uncultured marine bacterium; uncultured marine bacterium; uncultured marine bacterium
ce1816c5ee4c273dcf30d3163672c0e5	0.0	13.0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Nitrincolaceae; uncultured; 
13228e6ddc8ac2fd6a54f9f4ff8018ee	0.0	3.0	Bacteria; Planctomycetes; OM190; uncultured planctomycete; uncultured planctomycete; uncultured planctomycete; uncultured planctomycete
d8799f340615646f390026acb2d08e15	33.0	53.0	Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Halieaceae; OM60(NOR5) clade; 
06b79ef377f389567e2c2c0f086257cf	44.0	135.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; NS5 marine group; 
55357d6cc58549d420cccd3c467f8a16	23.0	25.0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Saccharospirillaceae; uncultured; uncultured marine bacterium
6fc221c40a6938f04e930da2b1429ee2	0.0	26.0	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; uncultured; 
1111bb73192b927241f2edfc0cd0b057	20.0	17.0	Bacteria; Planctomycetes; Planctomycetacia; Pirellulales; Pirellulaceae; Blastopirellula; bacterium SH1-10
43c02c05359261183e16e961189742b8	0.0	9.0	Bacteria; Tenericutes; Mollicutes; Izimaplasmatales; Izimaplasmataceae; Izimaplasma; uncultured bacterium
1cb1cab4e83db881e4cc221cb4a980f7	51.0	55.0	Bacteria; Actinobacteria; Acidimicrobiia; Microtrichales; Ilumatobacteraceae; Ilumatobacter; Ilumatobacter nonamiensis YM16-303
9a8df6a1afc866bff6e1354cd11e78f4	29.0	101.0	Archaea; Euryarchaeota; Thermoplasmata; Marine Group II; marine metagenome; marine metagenome; marine metagenome
627a99dd1114c5212eb902a0d47d6f37	28.0	0.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; 
71b2d0ee5fd5ce998a1b163ca257670d	62.0	112.0	Bacteria; Proteobacteria; Gammaproteobacteria; Ectothiorhodospirales; Ectothiorhodospiraceae; uncultured; uncultured marine bacterium
705ba26aaee5871a308ded958a9f6461	14.0	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; PB19; uncultured bacterium HF0010_08B07; uncultured bacterium HF0010_08B07; uncultured bacterium HF0010_08B07
9c9c51b8997dbe53f3d3f7d5414ead2c	0.0	2.0	Bacteria; Proteobacteria; Alphaproteobacteria; Kordiimonadales; uncultured; ; 
616c3240719c4852dbc9697161fd0e06	3.0	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; OM27 clade; uncultured delta proteobacterium
ebf9354b851c070b55ab7ced4f39c0b8	0.0	35.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Amylibacter; 
b474c8c5e4e3fdea032a7feb365e8e98	0.0	6.0	Bacteria; Bacteroidetes; Bacteroidia; Chitinophagales; Saprospiraceae; ; 
479e899dc7bee35210fe3e610bf9634c	79.0	63.0	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; OM27 clade; 
e4304c9496921fcf8a88c1ef30dfd0eb	26.0	9.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; ; 
154216ffcdbd00e5dacbf88c3ff6ab8f	13.0	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Ancylobacter; 
ad5904f852ce73680c278e1d68e64a91	39.0	0.0	Bacteria; Bacteroidetes; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Mucilaginibacter; metagenome
0cde5d4570dde81863ec74db78536cf3	16.0	0.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Methylacidiphilales; Methylacidiphilaceae; uncultured; metagenome
ba9225444a01fbc67f282a3ed0ca9a5b	512.0	1720.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Cryomorphaceae; uncultured; uncultured bacterium
4d5ea57ba7338b0aca057fb93a24b82b	7.0	0.0	Bacteria; Planctomycetes; Planctomycetacia; Pirellulales; Pirellulaceae; Blastopirellula; 
b0a6f0c6c52d44f9850400ee9a5f5765	0.0	31.0	Bacteria; Proteobacteria; Deltaproteobacteria; PB19; uncultured bacterium HF0010_08B07; uncultured bacterium HF0010_08B07; uncultured bacterium HF0010_08B07
87ec982d0a3ccbf62b87c439bd4295e6	157.0	2229.0	Bacteria; Proteobacteria; Gammaproteobacteria; Thiomicrospirales; Thioglobaceae; SUP05 cluster; 
f6907f697361593491030f7dc8a198aa	0.0	18.0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Saccharospirillaceae; Oleispira; 
07c1379b824f23df9b591e393e430297	26.0	27.0	Bacteria; Proteobacteria; Alphaproteobacteria; uncultured; ; ; 
4869379a1d315c0d2c7b37f461d8dd21	6.0	0.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Opitutales; Opitutaceae; uncultured; metagenome
a50235afe252a863e383e4326d854107	0.0	16.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Rubritaleaceae; Rubritalea; 
a5f208587e914e3c16310ef23c43bf87	85.0	161.0	Bacteria; Bacteroidetes; Bacteroidia; Sphingobacteriales; NS11-12 marine group; unidentified marine bacterioplankton; unidentified marine bacterioplankton
86d954d6ddff7385ec6136db4fad7f60	12.0	0.0	Bacteria; Epsilonbacteraeota; Campylobacteria; Campylobacterales; Arcobacteraceae; Arcobacter; 
58386b5ec1d8e31a63cb7886889de452	0.0	12.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Wenyingzhuangia; 
1294e6ff4a365536bdd7e002a488d46b	9.0	14.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Cryomorphaceae; uncultured; uncultured bacterium
9b9813f1a766e72ab381bf56cd3c9c3c	31.0	9.0	Archaea; Euryarchaeota; Thermoplasmata; Marine Group III; metagenome; metagenome; metagenome
ea212db66499986d12f92e12c0ac4c34	9.0	18.0	Archaea; Nanoarchaeaeota; Woesearchaeia; uncultured bacterium; uncultured bacterium; uncultured bacterium; uncultured bacterium
cb83ed9c326c5f5d5ca0a8f2f63157e1	8.0	0.0	Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Gimesiaceae; uncultured; uncultured planctomycete
cbba35c0152682628245fca0d2efa51e	0.0	60.0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella amnii DSM 23384 = JCM 14753
01784452cef9e81e1814fb6423bd2acb	6.0	0.0	Bacteria; Bacteroidetes; Bacteroidia; Cytophagales; Microscillaceae; Ohtaekwangia; metagenome
dfe11678315840aac7f0a68a774b9e79	2.0	0.0	Bacteria; ; ; ; ; ; 
339a1f8d8b31a165072b62710e46cbc0	41.0	59.0	Archaea; Thaumarchaeota; Nitrososphaeria; Nitrosopumilales; Nitrosopumilaceae; Candidatus Nitrosopumilus; 
